Latex,Mathml,Description
,&#x00020;,SPACE
!,&#x00021;,EXCLAMATION MARK
\#,&#x00023;,"# \# (oz), NUMBER SIGN"
\$,&#x00024;,"= \mathdollar, DOLLAR SIGN"
\%,&#x00025;,PERCENT SIGN
\&,&#x00026;,# \binampersand (stmaryrd)
(,&#x00028;,LEFT PARENTHESIS
),&#x00029;,RIGHT PARENTHESIS
*,&#x0002A;,"# \ast, (high) ASTERISK, star"
+,&#x0002B;,PLUS SIGN
",",&#x0002C;,COMMA
,&#x0002D;,"t -, HYPHEN-MINUS (deprecated for math)"
.,&#x0002E;,"FULL STOP, period"
/,&#x0002F;,"# \slash, SOLIDUS"
0,&#x00030;,DIGIT ZERO
1,&#x00031;,DIGIT ONE
2,&#x00032;,DIGIT TWO
3,&#x00033;,DIGIT THREE
4,&#x00034;,DIGIT FOUR
5,&#x00035;,DIGIT FIVE
6,&#x00036;,DIGIT SIX
7,&#x00037;,DIGIT SEVEN
8,&#x00038;,DIGIT EIGHT
9,&#x00039;,DIGIT NINE
:,&#x0003A;,"= \colon (literal), COLON (not ratio)"
;,&#x0003B;,SEMICOLON p:
<,&#x0003C;,LESS-THAN SIGN r:
=,&#x0003D;,EQUALS SIGN r:
>,&#x0003E;,GREATER-THAN SIGN r:
?,&#x0003F;,QUESTION MARK
@,&#x00040;,at
A,&#x00041;,"= \mathrm{A}, LATIN CAPITAL LETTER A"
B,&#x00042;,"= \mathrm{B}, LATIN CAPITAL LETTER B"
C,&#x00043;,"= \mathrm{C}, LATIN CAPITAL LETTER C"
D,&#x00044;,"= \mathrm{D}, LATIN CAPITAL LETTER D"
E,&#x00045;,"= \mathrm{E}, LATIN CAPITAL LETTER E"
F,&#x00046;,"= \mathrm{F}, LATIN CAPITAL LETTER F"
G,&#x00047;,"= \mathrm{G}, LATIN CAPITAL LETTER G"
H,&#x00048;,"= \mathrm{H}, LATIN CAPITAL LETTER H"
I,&#x00049;,"= \mathrm{I}, LATIN CAPITAL LETTER I"
J,&#x0004A;,"= \mathrm{J}, LATIN CAPITAL LETTER J"
K,&#x0004B;,"= \mathrm{K}, LATIN CAPITAL LETTER K"
L,&#x0004C;,"= \mathrm{L}, LATIN CAPITAL LETTER L"
M,&#x0004D;,"= \mathrm{M}, LATIN CAPITAL LETTER M"
N,&#x0004E;,"= \mathrm{N}, LATIN CAPITAL LETTER N"
O,&#x0004F;,"= \mathrm{O}, LATIN CAPITAL LETTER O"
P,&#x00050;,"= \mathrm{P}, LATIN CAPITAL LETTER P"
Q,&#x00051;,"= \mathrm{Q}, LATIN CAPITAL LETTER Q"
R,&#x00052;,"= \mathrm{R}, LATIN CAPITAL LETTER R"
S,&#x00053;,"= \mathrm{S}, LATIN CAPITAL LETTER S"
T,&#x00054;,"= \mathrm{T}, LATIN CAPITAL LETTER T"
U,&#x00055;,"= \mathrm{U}, LATIN CAPITAL LETTER U"
V,&#x00056;,"= \mathrm{V}, LATIN CAPITAL LETTER V"
W,&#x00057;,"= \mathrm{W}, LATIN CAPITAL LETTER W"
X,&#x00058;,"= \mathrm{X}, LATIN CAPITAL LETTER X"
Y,&#x00059;,"= \mathrm{Y}, LATIN CAPITAL LETTER Y"
Z,&#x0005A;,"= \mathrm{Z}, LATIN CAPITAL LETTER Z"
\lbrack,&#x0005B;,LEFT SQUARE BRACKET
\backslash,&#x0005C;,REVERSE SOLIDUS
\rbrack,&#x0005D;,RIGHT SQUARE BRACKET
\sphat,&#x0005E;,"CIRCUMFLEX ACCENT, TeX superscript operator"
\_,&#x0005F;,"LOW LINE, TeX subscript operator"
,&#x00060;,"grave, alias for 0300"
a,&#x00061;,"= \mathrm{a}, LATIN SMALL LETTER A"
b,&#x00062;,"= \mathrm{b}, LATIN SMALL LETTER B"
c,&#x00063;,"= \mathrm{c}, LATIN SMALL LETTER C"
d,&#x00064;,"= \mathrm{d}, LATIN SMALL LETTER D"
e,&#x00065;,"= \mathrm{e}, LATIN SMALL LETTER E"
f,&#x00066;,"= \mathrm{f}, LATIN SMALL LETTER F"
g,&#x00067;,"= \mathrm{g}, LATIN SMALL LETTER G"
h,&#x00068;,"= \mathrm{h}, LATIN SMALL LETTER H"
i,&#x00069;,"= \mathrm{i}, LATIN SMALL LETTER I"
j,&#x0006A;,"= \mathrm{j}, LATIN SMALL LETTER J"
k,&#x0006B;,"= \mathrm{k}, LATIN SMALL LETTER K"
l,&#x0006C;,"= \mathrm{l}, LATIN SMALL LETTER L"
